Question,Option,Answer,Explanation
1,1,,"In European countries certain content from video-sharing websites like YouTube, Vimeo, etc. is not accessible because of copyright infringements. Please express your experiences with this kind of problems."
58,1,,"As normal Internet usage explicitly includes the sharing, enhancing and remixing of contents, maybe you ran into a situation where you weren't quite sure how you should deal with it concerning copyright regulations."
14,1,,""
13,1,,"Most of the times when you buy music, films, e-books, etc. online, there is some kind of restriction like DRM, which prohibits the passing on or reselling of the contents you bought. Did this ever happen to you and what do you think about that?"
21,1,,"Certain services like Netflix, Spotify or Hulu are only available in specified European countries as the companies have to deal with the copyrights on a national level. Do you think that is problematic? Should the copyright directives be standardised on an European level?"
64,1,,"When it comes to copying and reprography in the digital environment, copyright gets pretty fussy. Please share your experiences. Do you think the EU commision should clarify the area of application around this issue?"
72,1,,"Content of what type was "stolen"? How do you think it should work?"
8,2,,""
20,2,,""
22,1,,""
15,1,,""
77,1,,""
11,2,,""
