Question,Option,Answer,Explanation
11,2,,"Linki (czyli „odnośniki”) to podstawa działania sieci WWW. Sieć tworzą połączone linkami dokumenty. Bez linków nie możemy mówić o istnieniu internetu. Linki odpowiadają za podstawową zasadę działania sieci polegającą na umożliwieniu nawigowania pomiędzy powiązanymi dokumentami. Dokumentami, które chronione są zazwyczaj prawem autorskim. Pomysł zakazania zamieszczania linków do materiałów, do których nie posiadamy praw autorskich (np. do strony jakiejś gazety albo filmu na YouTube) może wydawać się zatem absurdalny, zaskakujący i nieprzemyślany. Takie tendencje niestety już się pojawiają. W Polsce latem tego roku zapadł pierwszy wyrok nakazujący zapłatę odszkodowania i zadośćuczynienia za podanie na Facebooku linka do piosenki z serwisu YouTube. W Hiszpanii wprowadzono prawo zakazujące podawania linków właścicielom stron, o ile czerpią jakieś korzyści z ich prowadzenia (np. umieszczają na nich płatne reklamy). Użytkownik Sieci nie ma pewności czy linkowanie jest legalne, czy nie, a przecież wielu z nas linkuje wielokrotnie każdego dnia. Odpowiadając, sugerujemy wskazanie, że: - podanie źródła informacji nie jest tym samym, co publikacja utworu; istnienie ryzyka odpowiedzialności prawnej związanej z aktem podania źródła informacji godzi w fundamenty wolności słowa; zakaz podawania źródeł informacji godzi w misję instytucji takich jak uniwersytety, biblioteki i archiwa."
14,,,"""Kupując"" książkę, muzykę czy inny utwór w formie cyfrowej tak naprawdę nie kupujesz niczego na własność. Jest to po prostu opłata za dostęp do treści. W związku z tym nie ma prawnej możliwości odsprzedaży plików. Wymagałoby to wprowadzenia prawa własności do plików, a to sprzyjałoby rozwojowi systemów zabezpieczeń DRM (Digital Restrictions Management to technologie uniemożliwiające lub utrudniające korzystanie z utworu, np. w taki sposób że można z niego korzystać tylko z określonego urządzenia lub za pośrednictwem konkretnej aplikacji) oraz innych sposobów egzekucji tego prawa własności, np. ściąganie plików z Sieci stałoby się prawdopodobnie nielegalne. Odpowiadając, sugerujemy wskazanie, że: odsprzedanie, podarowanie lub nawet tylko pożyczenie własnej książki lub płyty jest naturalnym ludzkim zachowaniem; prawo nie powinno akceptować zachowań producentów uniemożliwiających rozpowszechnianie raz sprzedanych dóbr kultury; natomiast nie jest dobrym pomysłem przenoszenie logiki sprzedaży przedmiotów na treści  w formie cyfrowej, bo prowadziłoby to do ograniczenia wolności użytkowników."
20,2,,"Dzisiaj na terenie Unii Europejskiej autorskie prawa majątkowe (które pozwalają ich właścicielom decydować, co możemy robić z ich dziełami) trwają przez 70 lat po śmierci autora/ki. Oznacza to w praktyce, że w tej chwili do domeny publicznej, czyli wolnego obiegu kultury, wchodzą prace powstałe ponad 100 lat temu. Konwencja Berneńska, która jest  najważniejszą umową międzynarodową regulującą kwestie praw autorskich, wyznacza jako minimalny okres 50 lat po śmierci twórcy. Z tej możliwości korzysta na przykład Kanada, dlatego w styczniu tego  roku do domeny publicznej wchodzą tam prace Sylvii Plath, C.S. Lewisa,  Aldousa Huxleya czy Georges Braque'a. My, dzięki dyrektywie unijnej z 1993 roku, musimy czekać na nie jeszcze 20 lat. Naszym zdaniem okres obowiązywania autorskich praw majątkowych powinien zostać powiązany z okresem ekonomicznej eksploatacji dzieła, co w dzisiejszych realiach oznacza, wg różnych źródeł, od 3 do maksymalnie 20 lat od chwili publikacji (a nie od śmierci autorki/a). Zbyt długi okres tzw. ochrony  prawnoautorskiej wpływa negatywnie nie tylko na dostępność tytułów w obiegu, ale także ogranicza potencjał twórczego wykorzystania istniejących dzieł. Prowadzi on także do ogromnych problemów przy digitalizacji oraz w działaniu bibliotek i archiwów cyfrowych, dziś umieszczających online przede wszystkim utwory z domeny publicznej. Jeśli wybierzesz NIE, pamiętaj by wyjaśnić, czy chcesz skrócenia, czy wydłużenia tego okresu."
23,,,"Prawo autorskie nie zawsze wymaga uzyskania zgody właściciela (twórcy, jego spadkobierców, wydawcy, czy producenta) na korzystanie z ich utworów. W Polsce na przykład istnieje <a href=""http://prawokultury.pl/publikacje/podrecznik-dozwolony-uzytek-prywatny/"">dozwolony użytek prywatny</a>, który zezwala na kserowanie książek na własne potrzeby, czy skopiowanie płyt CD z muzyką oraz przekazanie tej kopii komuś z rodziny lub kręgu znajomych.  <a href=""http://prawokultury.pl/publikacje/dozwolony-uzytek-publiczny"">Dozwolony użytek publiczny</a> pozwala np. bibliotekom wypożyczać książki, a nauczycielom wykorzystywać cudze dzieła w szkołach. Niestety, zakres dozwolonego użytku jest stosunkowo wąski: nie obejmuje on twórczego wykorzystania dzieła (np. popularne ""memy"" są w większości przypadków nielegalne) ani niekomercyjnego rozpowszechniania utworów poza kręgiem bezpośrednich znajomych. Dozwolonym użytkiem w ogóle nie są objęte programy komputerowe (w tym gry), czyli nie wolno ich kopiować nawet na własny użytek (z bardzo wąskim wyjątkiem umożliwiającym w pewnych okolicznościach zrobienie kopi zapasowej).  W pozostałych państwach UE istnieją inne rozwiązania, zwykle jeszcze bardziej restrykcyjne niż polskie. Często zakazane jest m.in. kopiowanie utworów na własny użytek (w Polsce jest dozwolone). Zarówno w Polsce, jak i innych krajach Unii, nie wolno dziś publicznie rozpowszechniać cudzych dzieł (czyli np. wrzucić na swój otwarty blog), co de facto oznacza również zakaz używania technologii peer-2-peer. Nie wolno także publikować <a href=""http://prawokultury.pl/publikacje/utwory-zalezne/"">remiksów, tłumaczeń, opracowań czy adaptacji</a> cudzych utworów bez zgody właścicieli praw autorskich, o ile nie są one parodią albo pastiszem. Można się zastanowić, czy w ogóle ma sens wymienianie w przepisach wszystkich szczególnych zezwoleń, i czy nie lepiej byłoby po prostu zalegalizować każde wykorzystanie (a więc i rozpowszechnianie) cudzych utworów przez osoby prywatne, o ile nie czerpią przychodu z takiej działalności. Odpowiadając na to pytanie możesz wymienić jakie zasady ci się podobają, co powinno być  Twoim zdaniem legalne, a co jednak powinno być uzależnione od zgody właściciela praw majątkowych. Nie  musisz znać dobrze przepisów, napisz po prostu w  jaki sposób chcesz korzystać z filmów, tekstów czy muzyki dostępnej w  Sieci."
34,,,"Biblioteki i archiwa działają w oparciu o przepisy o dozwolonym użytku publicznym, pozwalające m.in. wypożyczać książki, ale także kopiować (czy skanować) je na potrzeby zachowania zbiorów. Chociaż technicznie jest to jak najbardziej możliwe, biblioteki nie mają jednak prawa udostępniać czytelni/cz/kom swoich zdigitalizowanych zbiorów w Sieci. Prawo zezwala robić to jedynie na tzw. terminalach, czyli komputerach fizycznie znajdujących się w bibliotekach. Ale nie w każdej miejscowości jest biblioteka i nie każdy może osobiście udać się do niej. Nie zawsze w bibliotece jest tyle egzemplarzy, ile chętnych do czytania. Wiele pozycji jest dostępnych tylko w największych instytucjach, takich jak Biblioteka Narodowa. Pełen dostęp do zbiorów przez Internet dla wszystkich osób, także tych mieszkających poza granicami kraju, rozwiązałby ten problem i stanowiłby wypełnienie społecznej misji bibliotek. Można się też zastanowić, czy prawo do udostępniania swoich zbiorów on-line powinny mieć również inne niż biblioteki instytucje publiczne, takie jak galerie czy muzea. A instytucje tego typu prowadzone przez osoby prywatne, organizacje pozarządowe lub komercyjne firmy? Odpowiadając napisz co sądzisz o prawie bibliotek do udostępniania swoich zbiorów on-line. Warto także wskazać jakie instytucje, czy osoby powinny mieć takie same prawa jak biblioteki."
38,,,"W świetle polskich przepisów udostępnianie prywatnych kolekcji osobom spoza kręgu rodziny i bliskich znajomych jest niedozwolone bez zgody właścicieli praw autorskich do poszczególnych ""eksponatów"". Jeśli więc jesteście fan/k/ami, hobbyst/k/ami, czy specjalist/k/ami w jakiejś dziedzinie i stworzyliście unikatową kolekcję jakichś utworów z materiałów zakupionych w Sieci lub skopiowanych z rodzinnych zbiorów albumów czy płyt, nie macie prawa jej rozpowszechnić (czyli na przykład założyć własnej strony internetowej prezentującej te zbiory). Jak wskazują badacze społeczni, dziś takie kolekcje są  istotnym sposobem tworzenia i wyrażania swojej tożsamości oraz budowania relacji z innymi ludźmi. Kolekcje odgrywają także rolę kulturotwórczą i edukacyjną, wprowadzając do szerszego obiegu niszową  twórczość o niskim potencjale komercyjnym. Można się zastanowić, czy z  punktu widzenia społeczeństwa nie byłoby korzystne zalegalizowanie  rozpowszechniania prywatnych kolekcji bez zgody właścicieli praw  autorskich, o ile nie wiąże się to z działalnością komercyjną. Odpowiadając napisz, co sądzisz o prawach prywatnych kolekcjonerów do prezentowania  swoich zbiorów on-line, jeśli reprezentujesz instytucję wskaż na  problemy, które pojawiają się w waszej działalności w związku z prawem autorskim."
45,,,"Szereg pytań Komisji Europejskiej jest związanych z wpływem prawa autorskiego na działalność edukacyjną. Dziś przepisy pozwalają  pokazywać uczniom cudze utwory bez pytania o zgodę właścicieli  praw autorskich tylko w obrębie instytucji oświatowych, w ramach realizacji ich celów dydaktycznych. W polskim prawie sama definicja instytucji oświatowych jest niejasna: nie wiadomo, czy mieszczą się w niej na przykład organizacje pozarządowe albo nieformalne grupy zajmujące się edukacją. Ale nawet szkołom nie wolno zamieszczać prac wykorzystujących cudze utwory w  Sieci, choćby były to prezentacje przygotowane przez uczniów czy nagrania ze szkolnych występów. Tymczasem coraz więcej instytucji oferuje kursy on-line - także dla dorosłych, bo rynek pracy wymaga ciągłego podnoszenia kompetencji (Lifelong Learning). Odpowiadając możesz zastanowić się nad tym jak zagwarantować prawo do edukacji - określone m. in. przez Powszechną Deklarację Praw Człowieka - w czasach komunikacji przez media. Czy majątkowe prawa autorskie powinny ograniczać możliwości edukowania dzieci i młodzieży? Może powinniśmy zagwarantować  prawo swobodnego i nieodpłatnego korzystania z cudzych utworów do wszelkich celów edukacyjnych?"
48,,,"Polskie prawo autorskie pozwala na wykorzystywanie cudzych utworów do celów badawczych, ale tylko instytucjom naukowym i oświatowym. Ta swoboda jest jednak w praktyce ograniczana, gdyż licencje udzielane na elektroniczne bazy danych  utworów naukowych zawierają ograniczenia (terytorialne, czasowe, podmiotowe itp.). Nawet jeżeli badania naukowe zostały sfinansowane z  publicznych pieniędzy, nie ma obowiązku publikowania ich w otwartym dostępie (open access), a wydawcy stosują często umowy, które uniemożliwiają autorom  samodzielne umieszczanie ich własnych publikacji  w internecie. Powoduje to, że pieniądze publiczne muszą być wydane ponownie, tym razem na zakup publikacji przez biblioteki. Bazy danych ukryte za ograniczeniami licencyjnymi lub blokowane DRM (DRM, czyli Digital  Restrictions Management to technologie uniemożliwiające lub  utrudniające korzystanie z utworu, np. w taki sposób że można z niego  korzystać tylko z określonego urządzenia lub za pośrednictwem konkretnej  aplikacji) nie są dostępne  dla naukowców, którzy coraz częściej chcą korzystać z komputerów do pozyskiwania informacji, ich analizy i wnioskowania. Taki sposób prowadzenia badań znajduje się obecnie w strefie prawnej niepewności. Odpowiadając można wskazać, że rozwiązaniem takich problemów byłoby wprowadzenie do prawa autorskiego zasady, że każdy chroniony utwór może być swobodnie kopiowany, modyfikowany, rozpowszechniany i wykorzystywany w celach naukowych, a swobody tej nie można ograniczać za pomocą licencji lub technicznych restrykcji. Wprowadzenie tej zasady na terytorium UE rozwiąże problem dostępu do zagranicznych publikacji naukowych. Powszechnie akceptowanym postulatem jest także nakaz publikowania w otwartym dostępie (open access) prac powstałych dzięki publicznemu finansowaniu."
61,,,"Współczesna kultura w znacznym stopniu opiera się na wykorzystaniu wcześniej istniejących utworów lub na włączaniu ich do własnej twórczości.  Twórcy zdają sobie sprawę jak bardzo nasza świadomość jest kształtowana przez istniejące w publicznym obiegu utwory i  jak ważne jest pokazywanie ich w nowej, krytycznej perspektywie. Taką pracą była na przykład słynna Mona Lisa z wąsami Marcela Duchampa czy przemalowane portrety Marilyn Monroe Andy'ego Warhola. Podobnym zjawiskiem jest także samplowanie, czyli tworzenie nowych utworów muzycznych poprzez łączenie fragmentów innych utworów. Prawo autorskie w takich przypadkach wymaga uzyskania zgody wszystkich właścicieli praw do utworów oryginalnych (o ile prawa te już nie wygasły - patrz pytanie nr 20). Oryginalni  twórcy, oczywiście, mogą być niechętni takiej ""krytycznej perspektywie"" i jej nie udzielić albo warunkować ją wysokim wynagrodzeniem. Taka zgoda potrzebna jest do tworzenia (a właściwie do rozpowszechniania) innych utworów zależnych czyli takich, które powstały na bazie jakiejś oryginalnej pracy -  zalicza się do nich na przykład tłumaczenia, adaptacje filmowe czy komiksowe, ale także bardzo popularne przeróbki zdjęć czy piosenek (a popularny serwis Demotywatory pokazuje, jak kreatywna może to być twórczość). Kolejny problem wiąże się z tym, że różne przepisy obowiązujące w tej dziedzinie w różnych krajach UE utrudniają rozpowszechnianie takich prac w internecie. Odpowiadając możesz upomnieć się o prawo do tworzenia i rozpowszechniania remiksów bez konieczności uzyskiwania każdorazowo zgody posiadaczy praw do utworu oryginalnego. W szczególności dotyczy to sytuacji, w której nie chcesz czerpać zysku ze swojego remiksu. Wolność twórczości artystycznej bezpośrednio zależy od możliwości wykorzystania cudzych utworów bez konieczności uzyskiwania zgody ich twórców. Naszym zdaniem w przypadku wykorzystania komercyjnego należy podzielić się zyskiem ze wszystkimi, którzy przyczynili się do jego powstania."
71,,,"To pytanie dotyczy ponoszonych przez przedsiębiorców opłat reprograficznych: mało kto wie, że producenci płyt, papieru i innych nośników informacji odprowadzają opłaty na rzecz organizacji zbiorowego zarządzania prawami autorskimi (OZZ). Także urządzenie służące do kopiowania (np. nagrywarki DVD) i usługi kserograficzne są objęte takimi opłatami. W ten sposób firmy, działające dzięki istnieniu cudzych utworów, dzielą się częścią zysku z twórcami, wydawcami i producentami. Tego typu opłat nie muszą jednak ponosić przedsiębiorcy oferujący usługi on-line, których działalność polega na przechowywaniu danych - takich jak pliki z filmami czy teksty - na wirtualnych dyskach (usługami takimi są m. in. Dropbox, GoogleDocs, YouTube czy Chomikuj).  Nie dotyczą one także świadczeniu usług dostępu do treści on-line  (np. iTunes, Spotify, Amazon). Obecnie OZZ uzyskują udział w zyskach jedynie tych firm, z którymi podpiszą umowę (taką jak ta pomiędzy Google i ZAiKS dotycząca YouTube). Komisja pyta, czy tego typu usługi on-line powinny zostać objęte takimi opłatami systemowo.  A jeśli tak, to czy w każdym przypadku - czy firmy, które podpisują umowy bezpośrednio z posiadaczami praw (twórcami lub wytwórniami) i dzielą się z nimi dochodami (jak właśnie Spotify) także powinny dodatkowo odprowadzać opłaty do OZZ-ów?  Wydaje się, że najprostszym rozwiązaniem byłoby wprowadzenie jednej płaskiej opłaty ""od Internetu"", która byłaby przekazywana twórcom (poprzez OZZ). Kwestie dotyczące przedsiębiorców są ważne, ale z punktu widzenia użytkowniczek i użytkowników najważniejszym problemem jest nie sam fakt istnienia tych opłat, ale to co otrzymamy w zamian za ten system wynagrodzeń dla twórców. Dlatego wprowadzenie płaskiej opłaty musi wiązać się z jednoczesną legalizacją niekomercyjnego wykorzystania i dzielenia się utworami przez osoby prywatne. Istotnym  argumentem na rzecz takiego rozwiązania jest też kwestia prywatności. Za każdym razem, kiedy dokonujemy transakcji finansowej lub korzystamy z usług scentralizowanych dostawców treści, w Sieci pozostaje informacja o tym, co czytaliśmy, oglądaliśmy i czego słuchaliśmy. Powstające w ten sposób gigantyczne bazy danych dają możliwość tworzenia portretów psychologicznych każdego z nas. Tylko płaska opłata powiązana z legalizacją rozproszonej komunikacji typu ""P2P"" daje szansę na powstrzymanie dalszej rozbudowy systemu inwigilacji. Odpowiadając warto zwrócić uwagę Komisji na kwestię podstawową, jaką  jest powiązanie opłat od usług on-line z legalizacją niekomercyjnego wykorzystania utworów oraz na konieczność zapewnienia przejrzystych reguł rozdysponowywania tak zdobytych środków pomiędzy twórców. "
