Question,Option,Answer,Explanation
1,1,,"Eine Befragung unserer Mitglieder hat ergeben, dass folgende Probleme regelmäßig aufgetreten sind: Viele Youtube-Videos sind in Deutschland nicht verfügbar. Außerdem sind Dienste wie Netflix von Deutschland aus nicht nutzbar. Der Musikstreamingdienst grooveshark.com hat seinen Betrieb in Deutschland auf Grund zu hoher Betriebskosten, womit explizit GEMA-Gebühren gemeint sind, eingestellt. Auch die Onlineplattformen vieler gebührenfinanzierter Fernsehsender sind meist nur aus dem jeweiligen Land, nicht aber aus anderen EU-Mitgliedsländern zu erreichen. So sind z.B. die ZDF- und ARD-Mediathek und die Angebote regionaler Fernsehsender nur aus Deutschland erreichbar und der BBC iPlayer nur aus Großbritannien. Amazon Video on Demand kann in Deutschland ebenfalls nicht genutzt werden. Einige Dienste sind in Deutschland verspätet gestartet, da die Betreiber erst eine Einigung mit der GEMA herbeiführen mussten. Beispiele sind Google Music All Access und Spotify. Spotify ist außerdem nicht von allen EU-Ländern aus nutzbar. Beispielsweise Tschechien kann den Dienst nicht nutzen. LoveFilm funktioniert nur im eigenen Land nicht EU-weit."
7,1,,"Für die Entwicklung einer europäischen Identität ist der kulturelle Austausch elementar wichtig und sollte von der EU gefördert werden. Für die Jungen Piraten ist es nicht ersichtlich, warum der kulturelle Austausch an Ländergrenzen Halt machen sollte. Welche Inhalte wir rezipieren und selbst produzieren hängt viel mehr mit unseren Sprachkenntnissen und Netzwerken zusammen als damit, aus welchem Mitgliedstaat wir kommen. Die Europäische Union sollte deshalb nicht nur ein einheitliches Urheberrecht entwickeln, das den grenzübergreifenden kulturellen Austausch fördert, sondern diesen auch durch nichtgesetzliche Maßnahmen unterstützen wie z.B. die Förderungen von Sprachkenntnissen und interkulturellen Kunst- und Medienprojekten."
4,1,,"Es sollte ein einheitliches europäisches Urheberrecht geben. Neue, innovative Geschäftsmodelle zur Vermarktung digitaler Werke sollten zunächst erlaubt sein."
11,2,,"Nein, unter keinen Umständen. Links sind einer der Grundbausteine des Internets. Nicht zuletzt durch diese war die schnelle Verbreitung von Information möglich, welche den Wissenschatz der Menschheit enorm schnell wachsen ließ. Die vorherige Abklärung mit den Rechteinhabern ist nicht praktikabel umsetzbar. Schon alleine die Zeit, die benötigt wird, um herauszufinden, wer der Rechteinhaber des fraglichen Link-Ziels ist (sofern einer existiert) würde so viel Zeit in Anspruch nehmen, dass es die Nutzung des Internets bis zur Unbenutzbarkeit verlangsamen würde. Ausserdem ist das Ziel eines Links variabel. Die Person, die den Link setzt, kann also nur den Inhalt zum aktuellen Zeitpunkt kennen. Es ist aber ohne Probleme möglich, dass sich dort später etwas anderes findet, das eventuell anders vom Urheberrecht betroffen ist. Außerdem ergäben sich Folgeprobleme, da die verlinkten Webseiten wiederum Links enthalten, usw. Eine produktive Nutzung des Internets wäre ohne eigene Rechtsabteilung nicht mehr möglich. Um Quellenangaben korrekt schreiben zu können müssten die gesamten Rechteinhaber*innen gefragt werden. Dies ist zum Beispiel bei großen Wissensdatenbanken wie Wikipedia völlig unpraktikabel."
12,2,,"Nein, unter keinen Umständen. Das Laden von Webseiten oder anderen Inhalten in den Cache eines Computers ist eine technische Notwendigkeit für den Zugang zu Inhalten. Technisch gesehen handelt es sich zwar um eine Kopie, aber diese Kopie ist temporär und hat nicht den Zweck, den betrachteten Inhalt zu vervielfältigen oder anderen zugänglich zu machen. Deshalb sollte sie vom Urheberrecht überhaupt nicht erfasst sein. Ferner ist es praktisch nicht möglich, vor Aufruf einer Webseite deren Inhalt zu kennen und zu überprüfen, ob sie urheberrechtlich geschützte Inhalte enthält. Weder eine Einholung der Erlaubnis von Rechteinhaber*innen noch ein Vermeiden versehentlicher Urheberrechtsverstöße wäre möglich, wenn das Laden von Inhalten in den Cache vom Urheberrecht erfasst wäre."
20,2,,"Nein, die Schutzfristen sind für das digitale Zeitalter nicht mehr angemessen. Die Jungen Piraten schlagen vor, die Schutzfristen auf 20 Jahre nach Veröffentlichung zu verkürzen. Das Internet hat den informationellen und kulturellen Austausch extrem beschleunigt. Viele urheberrechtlich geschützte Werke, insbesondere z.B. Computerspiele, sind bereits ein Jahr nach Veröffentlichung kaum noch kommerziell verwertbar. Die extrem langen Schutzfristen führen dazu, dass sich die meisten Menschen an ein Werk gar nicht mehr erinnern können, wenn dieses gemeinfrei wird. Dadurch werden viele gemeinfreie Werke nicht kulturell genutzt und weitergetragen, weil sie zu lange unter das Urheberrecht fallen, obwohl die meisten Künstler*innen schon lange nicht mehr an diesen Werken verdienen. Lange Schutzfristen nützen nicht dem Urheber sondern nur den Verwertern."
22,1,,"Ja, alle Ausnahmen und Schranken sollen EU-weit verpflichtend gelten. Das jetzige europäische Urheberrecht schützt durch die Unverbindlichkeit der Schranken lediglich die Position der Verwerter*innen, sollte aber Mindeststandards für das Recht auf Informationszugang und Bildung etablieren. Dies kann sie nur durch verpflichtend geltende Ausnahmen und Schranken im Urheberrecht gewährleisten."
23,1,,"Alle der bereits existierenden Ausnahmen und Schranken sollten erhalten bleiben. Zusätzlich hinzugefügt werden sollten mindestens folgende Ausnahmen: - Transformative Nutzung. Das Zitatrecht sollte sich nicht nur auf Texte, sondern auf alle urheberrechtlich geschützten Inhalte beziehen wie z.B. Audio und Video, damit innovative kulturelle Phänomene wie z.B. die Remix- und Mashup-Kultur im Internet Rechtssicherheit genießen. - Filesharing: Der Austausch von urheberrechtlich geschützten Werken zwischen Privatpersonen sollte online ebenso wie offline grundsätzlich erlaubt sein (analog z.B. zum privaten Verleihen physischer Bücher) - die Ausnahme für Bildung soll nicht nur für Schulbildung gelten, sondern auch für Ausbildung und private Weiterbildung - Von öffentlichen Stellen oder ganz oder teilweise durch öffentliche Gelder (mit)finanzierte erstellte Werke dürfen keinerlei Urheberrecht unterliegen. Wenn die öffentliche Förderung unter 10% liegt, kann eine Ausnahme gemacht werden. Die PSI-Richtlinie soll dahingehend geändert werden wenn notwendig."
24,1,,"Ja, allerdings sollen die Ausnahmen und Schranken des Urheberrechts in allen Ländern verbindlich gelten. Flexibilität für die Nutzer*innen sollte geschaffen werden, indem zusätzlich zu den Ausnahmen und Schranken eine Fair Use-Klausel eingeführt wird, die es ermöglicht, dass neue Formen der Nutzung, die die Gewinninteressen von Rechteinhaber*innen nicht berühren, erstmal erlaubt werden."
79,1,,"Die Entwicklung der Gesellschaft wird nicht auf die Politik warten. Deshalb sollte die EU schnellstmöglich gesetzgeberisch tätig werden."
