Question,Option,Answer,Explanation
1,1,,"Mogelijke voorbeelden: geblokkeerde YouTube video's, onbeschikbaarheid van Netflix, Spotify, Deezer, beperkingen in iTunes vanwege het land waarin je woont, of niet-beschikbare werken van publieke zenders (BBC, VRT, SVT...) etc. Schrijf dan ook op in welk land dit gebeurt!"
2,1,,"Kan van toepassing zijn als je een artiest bent die zijn werk online aanbiedt. Is zeker van toepassing als je een webwinkel hebt, online streaming aanbiedt, ondertitels aanbiedt voor populaire films, torrent trackers beheert of enige andere activiteit die niet direct met verkoop te maken heeft."
3,1,,"Laat dit leeg als je geen ervaring hebt met licenties voor je werk."
4,1,,"Enkele suggesties: - Het auteursrecht in de Europese Unie zou geharmoniseerd moeten worden. - Het auteursrecht van het land waar de gebruiker zit zou moeten gelden in plaats van het auteursrecht in het land van de aanbieder. [het is eerlijker tegenover de burger dat hun eigen wetten gelden] - Nationale collecteorganisaties (BUMA/STEMRA) zouden niet in staat moeten zijn het auteursrecht te doen gelden tegen de wil van de artiesten die ze vertegenwoordigen (GEMA vs. Youtube). - Een enkel Europees Copyright. (in effect overstappen naar een recht-om-te-kopieren, copyright, ipv een auteursrecht) - Een Europees systeem om Europese burgers te beschermen tegen wetgeving uit derde landen die anders is dan de wetten in hun thuisland. - Er moet een uitzondering komen in de auteursrechtenwetgeving voor activiteiten die in wezen de concurrentie verbeteren, die verheldert dat je nieuwe ideeën op de markt mag brengen zonder vooraf toestemming te hoeven vragen of belastende licenties hoeft te kopen."
5,2,,""
6,2,,""
7,1,,"Benodigde wettelijke maatregel: het auteursrecht in Europa harmoniseren. Dit lost het probleem van verschillende regels in verschillende landen op, en zou het auteursrecht gemakkelijker te begrijpen maken, en daardoor meer legitiem. Ook moeten de makers van werken hun werk gemakkelijker onder vrije, niet beperkende licenties uit kunnen geven (bijv. in Duitsland mogen artiesten vertegenwoordigd door de GEMA niet hun eigen werk onder CC-licentie voor individuele werken uitgeven)."
10,1,,"Toegang tot de inhoud mag niet onder het auteursrecht vallen. Auteursrecht hoort betrekking te hebben op de handeling van iets beschikbaar stellen op een manier die duidelijk niet strookt met een huidige en bestaande manier van geld verdienen aan het openbaar maken van een werk."
11,2,,"Kunnen linken naar andere webpagina's zonder toestemming te moeten vragen is essentieel voor het functioneren van het internet. Elke schending van dit beginsel zou het vrijwel onmogelijk maken voor mensen zonder juridische expertise en middelen, om bij te dragen aan het scheppen van kennis en cultuur op het internet."
12,2,,"Content kopiëren naar de cache van een computer om het te kunnen bekijken is technisch noodzakelijk voor de toegang tot content. Dit is niet het type verveelvoudiging van materiaal dat het auteursrecht poogt te behelzen en mag daarom in geen geval onder het auteursrecht vallen."
